Date,Title,Short Note
2005-10-18,通膨憂慮影響美國經濟,"最近政府宣布九月份消費者物價指數(CPI)上升1.2%，是二十五年來一個月內最大升幅，這當然是與能源價格飆升有關。前一個月的升幅只有0.5%，可見美國近期的確開始有通貨膨漲壓力。不計算能源與食品價錢的「核心指數」則依然相當和緩，只是連續五個月每月上升0.1%。 
通膨率上升速度增加，將促使聯邦儲備局繼續將短期利率調高，看來今年還會加息兩次，短期利率極可能在年底前提升至4.25%。此外，今年一直未有上升的長期利率，最近由於市場憂慮長期通膨率上升，十年公債已經由六月三十日的3.94%上升至4.5%水平，15年和30固定房屋貸款利率也連帶攀升了大約半厘。 
以上對美國經濟當然不是一個好消息，因為以下兩個月是全年最重要的零售購買季節，但今年冬季燃油價錢預料會大幅度上升，可能會影響消費者購物意欲，所以我個人覺得原油價錢若不由目前每桶63元返回50元水平，可能今年三大指數都會下跌，房地產價錢也不可能再有過去幾年的增幅。 
看來最近兩個颶風對美國經濟的打擊是相當深遠的。"
2005-10-17,通膨上升增加扣稅金額,"近期美國有通貨膨漲的跡象，短期與長期利率都升高了不少，對消費行業和房地產市場都不是好消息。可是，通膨上升有可能令納稅人受惠，原因就是稅例上一些扣稅金額是按通膨率訂立的，主要是根據九月十五日美國勞工部發表的通貨膨漲資料。
雖然國稅局仍未宣佈2006年的扣稅金額，幾位稅務專家已經發表了他們的預備，過去他們的命中率極高，因為他們掌握了國稅局調整的計算方法。
他們預計，2006年的個人免稅額將會由今年的$3200增加為$3,300,夫婦共同報稅的標準扣稅額亦會由$10,000增加為$13,000，單身的標準扣稅額則由$5,000升為$5,150，目前每年若有接近七成納稅人使用標準扣稅(STANDARD DEDUCTION)。 
此外，預料免稅贈與額將由目前$11,000 增加為$12,000。 
以上都可能為納稅人減低稅款，但另一方面，將會有更多中產階層墮入「另類最低稅款」(AMT)陷阱，除非國會能通過一個臨時法案，去減低AMT對中等收入家庭的影響。"
2005-10-14,社會安全退休金要繳稅嗎？,"領取社會安全退休金的讀者，若有其他收入，要注意兩方面的影響。 
第一、其他工作的收入可能會影響他領取社會安全金的數目。以前退休後不足七十歲而繼續工作者，收入可能會減少社會安全金金額。但2000年開始法例已經更改，如今只要年滿六十五歲半，則不論做工的收入多少，也不會影響社會安全金的數目。
第二、其他收入可能令社會安全金要當作收入付稅。有關計算方面比較複雜，是要將其他收入，加上社會安全金的一半；如果單身人士，此數字超過兩萬五千元，或已婚共同報稅人士，此數字超過三萬二千元，則一部份的社會安全金便要繳稅。其他收入包括做工收入、投資收入、退休金收入等。如果其他收入相當高的人士，有可能高達百分之八十五的社會安全金要成為繳稅的收入。 
報稅時，在1040報稅表的資料中，有一個表格是用來計算社安退休金是否要繳稅，該表格頗為複雜，雖然只區區有十八行，但仍要花上相當時間來填寫。"
2005-10-13,聯名申請信用咭的風險,"最近一位女士，發現已與她離婚的前夫，一直繼續使用他們以前聯名使用的信用咭，而且對方更宣佈個人破產，信用咭公司便向這位女士追債；她個人認為既然與丈夫離婚，自己並未使用該信用咭消費，她從未獲任何利益，信用咭公司實在不應向她追債。 
事實上，當大家與任何人，包括配偶、親戚或朋友，一起申請貸款或信用咭，便有法律責任去承擔全部債務，不論誰使用借貸的資金，所有聯名借貸人都要對全部債務作承擔。只要借貸人沒有按時還款，借貸機構是可以向全部或任何一位借貸人還款，而借貸人的責任是不會受離婚影響。 
因此，如果與人聯名申請信用咭，有任何原因要停止對以後信用咭借貸負責，就一定要以書面方式通知信用咭公司，則以後的債務才與自己無關；但在通知信用咭公司前的欠款，兩個人都要負責。這位女士的前夫已經宣佈破產，難怪信用咭公司向該女士追討欠款，而信用咭公司亦有權這樣做。"
2005-10-12,指定戶口受益人,"購買人壽保險或開設退休帳戶時，通常都要指定受益人(Beneficiary)，以方便將來由受益人繼承，通常受益人只需憑著死亡證正本，就可以輕易辦理領取或過戶手續。
有指定受益人的資產，是無需通過法庭認證(Probate)手續，也不受遺囑或生前信託內的條款所影響，即使該受益人的名字完全沒有在遺囑或生前信託內出現，也不會影響其繼承權。
一般人為了方便子女將來順利繼承銀行戶口或股票戶口，會把戶口加上他人名字，例如與子女共同擁有。雖然共同擁有方式可以避免認證，因其他戶主有自動繼承權，但共同擁有者可隨時單獨從戶口中提取股票或存款，假如規定由超過一位戶主共同簽名，又會帶來不便；在此情況中，應考慮將銀行戶口或股票戶口改為Pay-On-Death或Transfer-On-Death，預先指定受益人，便不用擔心帳戶被他人動用。
銀行戶口除了可以用POD或TOD來指定受益人外，有些銀行可為您將戶口改為In Trust For受益人的方法，都是預先指定受益人的可行辦法。"
2005-10-11,用信用卡要出示證件？,
2005-10-10,地方債券風險,"地方政府發行的公債，稱為地方債券(MUNICIPAL BONDS)，債券利息免付聯邦稅，假如由州居民持有，利息亦免付州和地方稅，所以這類債券亦稱為免稅債券。
可是，這些債券雖然是由政府或公用事業機構發行，也是有信用風險的。州政府以下機構發行的債券，通常都有商業保險機構擔保，所以信用評級可以高達AAA，但州政府本身發行的地方債券，有一部份是沒有加上保險的，這一類債券的信用評級，在該州經濟出現問題時，當然有可能下降。
最近幾個南方州份發生天災，對當地經濟打擊相當大，市場擔心有些沒有保險的地方債券可能會出現信用問題，國會這幾天在討論如何應付這個情況。有些國會議員希望聯邦由聯邦政府出面擔子地方債券，但財長已經很清楚講明不願意這樣做，因為會破壞了市場的運作。
以前亦曾有州和郡政府出現財政問題，令地方債券發生信用風險，但結果都安全無事。加州政府之前也出現過經濟問題，信用評級曾一度跌至接近垃圾債券水平，但現今都有改善，所以地方政府債券的安全度還是相當高的。"
2005-10-07,配偶與社安醫療保險,    如果工作超過十年，將來就可以在六十五歲，開始享用社會安全的醫療保險（Medicare），亦即是俗稱的紅藍白卡。但是如果大家的配偶從來沒有工作，或工作不足十年，那他將來會否擁有醫療保險？    原來只要夫婦二人其中一人合乎資格，其配偶是可以因此而拿到醫療保險。不過這位不合資格的配偶，一定要在六十五歲才可以拿到醫療保險。假定合資格的配偶是未足六十五歲，但是另外一位不合資格的配偶，已經達到六十五歲，那這位配偶是否可以自己先拿到醫療保險呢？    答案是﹕未必一定，要視乎那位合資格的配偶年齡是否超過六十二歲。如果是在六十二歲以下，那另外一位不合乎資格的配偶，即使本身已經年紀已經達到六十五歲，都是未能夠拿到醫療保險。但是若合乎資格的配偶，已經在六十二歲或以上，那不合資格的配偶，在六十五歲之年，就可以開始拿到醫療保險，包括Part A住院保險和Part B看醫生的保險。
2005-10-06,雇主可提供免稅進修費用,  如果希望可以一邊工作，一邊在學進修，有沒有甚麼優惠可以減低進修的經濟負擔呢？稅例上有一項叫做教育資助計畫，是由僱主提供，讓僱員每年有不超過$5250的進修費用。這個可以直接在稅前的人工裡扣出來，即是不需要視為當然要付稅的收入，這樣就可以省稅。    目前全國有數千間公司為僱員提供這種優惠，對公司來說並沒有任何額外的負擔，但對僱員來說卻是有好處。這$5250的進修費用，可以包括學士學位的四年課程及碩士學位課程。費用範圍包括學費、雜費、書簿費和文具費，而課程亦不一定與本身的工作性質有關。即是若在金融方面工作，卻可以在電腦進修；在電腦專業工作，卻可以唸法律等。  如果使用這項教育資助計畫，由於已經得到收入免稅的好處，因此就不能同時使用Hope Scholarship或Lifetime Learning這兩項抵稅額（Tax Credit）。所以，如果收入是不超過拿取這兩項抵稅額的範圍，那便要算一算，看使用哪一個比較合理。  在進修的第一及第二年時候，通常使用Hope Scholarship的抵稅額較為化算；在唸第三年或以上，加上本身稅率是相當高時，使用教育資助計畫可能會比較化算。
2005-10-05,同性婚姻報稅問題,
2005-10-04,計算正確的薪金預繳稅,"最理想的預繳稅金(WITHHOLDING TAX)，是預繳金額與真正稅金差不多，沒有預扣過高或過低的情況。預繳稅過高的話，等於免息借貸給政府，除非您故意用這個方法去強迫自己儲蓄，都應該考慮減低預繳稅。預繳稅過低，報稅時要繳付一大筆稅金，還可能有罰金。 
要調整預繳稅，需要將一份新的W-4表格交給僱主。僱主從薪金預扣的稅金金額，是根據您在W-4表格上填寫了多少個「容傢B」(Allowance)。「容傢B」越高，預扣的金額則越低，大家只要小心按W-4表格上的指示來填寫，就可以獲得正確的「容傢B」。
如果覺得填寫W-4表格太複雜，或想確定所選擇的「容傢B」是否正確，可以到一個網站：www.paycheckcity.com，再進入Form W-4 Assistant，只要回答幾個簡單問題，就可以為您計算出正確的「容傢B」，用來填寫在W-4表格內。此外，國稅局的網站也有一個計算器，可以幫助您計算正確的「容傢B」。"
2005-10-03,銀行收緊貸款條件,"過去幾年房地產市場非常活躍，當然與長期利率偏低有關，但也由於銀行的貸款條件比較寬鬆。聯邦儲備局主席已多次警告說，貸款批核過份寬鬆會帶來危機。其實幾個月前，銀行監管機構已經向銀行施加壓力，要求他們收緊借貸條件。
其中最受關注的，是所謂OPTIONS ARMS的貸款。這種貸款開始幾年的還款金額可以低至1.25%利率。一個6%三十年固定利率的貸款，每月還款金額是 $600；但如果選擇1.25%還款額的OPTION ARMS，每個月只需要付$333，但其他未付的利率全部都加在本金上，亦即貸款越借越多。
一家全國最大的借貸機構，已經宣佈修改OPTIONS ARMS貸款的批核條件，過去銀行批核這類貸款時，是用大約5.25%來計算借貸人的收入是否足夠。十月份開始，用這種貸款購買投資物業的借貸人，銀行會改用6.25%來計算收入是否足夠。
另外幾家貸款機構亦收緊了OPTION ARMS的條件，他們的做法是將最低還款利率從只有1.25%增加至大約3%。最低利率增高了，貸款人每個月的還款金額亦增加了，他能夠借到的貸款金額便下降。
這種OPTIONS ARMS 的貸款項目，不錯給與貸款人每個月較低的負擔，但是幾年後回復正常供款時，再加上浮動利率上升，到時負擔會極其沉重。"
2005-09-30,謝絕來電,"兩年前，美國開始了一個叫DO NOT CALL的法例，讓人可以將自己家中的電話號碼登記，之後五年有效期內便可以避免電話推銷。目前已經有好幾千萬美國人作了登記，從我自身的經驗，的確在登記之後，電話推銷的次數大量減少，但不是完全沒有，因為這個法例容陷X類機構繼續用電話推銷，包括﹕非牟利團體、政治團體、或在過去十八個月內與您有商業來往的公司。
還未登記的朋友，可以到DONOTCALL.GOV網址上作登記，或致電1-888-382-1222，但請注意，用電話作登記，是需要您用準備登記的電話，即是您不能用另外一個電話去作登記，也不可以代他人作登記，原因是政府要確定您是這個電話的戶主。此外，登記之後通常要31天之後才生效，開始時可能還會有些不應該收到的電話，但應該逐漸減少。消費者有權去投訴不依法例的推銷者，可是，兩年來雖然政府收到超過一百萬個投訴，卻只處罰過六個推銷者，可見要執行法例一點都不容易。縱是如此，這個DO NOT CALL的法例還是十分有用，值得未登記的朋友考慮。"
2005-09-29,401-K會受公司倒閉影響嗎？,"不少公司的僱員參加公司提供的401K儲蓄計劃，為將來退休儲蓄作好準備；多年以來，可能已儲蓄了一筆相當可觀的資金。401K因為一定要經由公司提供，只要仍然是公司僱員，這些儲蓄就不能轉到由自己管理的個人退休帳戶內，
萬一公司發生經濟困難，甚至宣佈破產或倒閉，員工401K帳戶內的儲蓄是否安全呢？事實上大家無需過份憂慮，因為法律規定這些退休帳戶，都不屬於公司的資產，不寄存於公司帳戶中，所有資金都必須由政府認可的信託機構操縱及管理，公司債權人是無法干預。
可是，在一些比較特別的情況下，萬一公司倒閉，可能會對401K造成一些損失。首先，假如在401-K帳戶投資自己公司的股票，當然會蒙受損失。其次， 假如公司已經扣起了工資，但在未將這些資金交到管理401-K的信託機構之前倒閉，則這些款項未必能夠進入401K帳戶口內，可能要經由法庭處理。
在正常情況下，公司即使倒閉，401-K帳戶的儲蓄，可在六十天內轉入一個Rollover IRA帳戶內，戶口持有人便可以繼續投資及延稅。"
2005-09-27,小生意虧蝕扣稅,"有些朋友自己搞小生意，甚至一邊打工一邊做小生意，生意的收入當然要報在稅表的SCHEDULE C上，但所有與做生意有關的費用，都可以放在報稅表上，去抵銷做生意的收入。假如扣除費用之後依然有淨收入，這些收入便要從SCHEDULE C轉入1040報稅表上成為您的總收入的一部份。可是，假如生意費用超過生意收入，亦即產生生意虧蝕，在稅務上如何處理呢？
小生意的虧蝕在報稅表上是可以用來扣除其他收入的，假如納稅人有工資收入，亦有生意虧蝕，這些虧蝕可以減低工資收入，令總收入和稅金減少。可是，這些虧蝕必須是生意虧蝕。稅例上將生意(BUSINESS) 與業餘嗜好(HOBBY)分開，業餘嗜好產生的虧蝕，扣稅金額只限於嗜好的收入，超出收入的虧蝕不能用來抵銷其他收入，所以在稅務上與生意虧蝕有很大的分別。
稅局如何去衡量到底您幹的是生意抑或嗜好呢？國稅局的一向的看法，是生意需要在五年內有起碼三年是有利可圖，可是，這個並不是國稅局唯一的準則。"
2005-09-26,選擇地點,"首次買屋，自己對房地產交易不熟悉，最好向親友查詢，找位可信的代理幫忙。同時，應該聯絡銀行或貸款代理，取得「預先貸款批準證明書」(PRE-APPROVAL LETTER)，讓自己知道可負擔的房屋價錢範圍。
「地點」是選擇物業最重要的考慮因素，直接影響將來房子升值。該地區中小學學校的成績尤其重要，應該向房屋代理查詢，互聯網上有一個網址 www.greatschools.com 可為您提供詳細資料。此外，要了解該區的治安情況，可向警察局查詢資料。選擇房子，還要了解周圍鄰居環境，最好是在不同時間親自到當地觀察，以確定是否適合本身家庭。
選好房子後，在買賣仍未正式成交這段時間，有不少需要辦理的事情，包括向貸款機構遞交申請文件，和找職業房屋檢驗師檢查房子。這些步驟您的房地產代理都應該為您作提點。"
2005-09-23,應該用「雙重代理」嗎？,"        有意購買房屋者，最好有一位地產經紀作為自己的代理，若自己沒有聘用代理，而您與賣方代理接觸時覺得相當投契，那麼您是否可以與賣方共用同一位代理？ 
        當買方同時任用賣方的代理代表自己，這位代理便稱為「雙重代理」(Dual Agent)。假如買方願意接受這個安排，這便是合法，但該代理必須先由買賣雙方簽署AD-11表格，在表格上清楚說明他是雙重代理，並將會盡力為買賣雙方服務。 
        「雙重代理」對買賣雙方是否有利呢？在買賣雙方議價或談論其他條件時，這位雙重身份代理，究竟是站在賣方的利益立場、抑或買方利益立場？舉個例，賣方叫價四十萬元，但卻私下告訴代三十五萬元底價；而買方在討價還價時，極可能向這位代理查詢，還價某金額(如﹕三十八萬)是否恰當；在此種情況中，這位代理應該如何回應？不論他如何回答，都可能會偏向其中一方，故他只能保持中立，即甚麼話都不說，但這樣又變成沒有盡力去幫助買方取得最佳價錢。由於代理是由賣方聘用，將來佣金亦是由賣方支付，故難免許多「雙重代理」會偏幫賣方，而且賣價越高，代理的佣金也越高。 
        明白這個道理，您就明白為何「雙重代理」對買家可能不利，這正是「一個僕人不可以服事兩個主人」的道理，所以對買家來說，買屋時最好避免使用「雙重代理」。"
2005-09-22,尋找賣屋代理,"一般人賣屋時，都會找一位地產代理幫忙，這位代理對大家賣屋是否順利有很大影響。所以找到一位好的代理，是相當重要的。 
如何尋找一位理想的代理呢？一般應該盡量找當地的代理，因為通常每位代理都有他們熟識的地區；您可以留意區內最常出現的代理名稱，或向鄰居查詢，請他們介紹負責和有經驗的代理。 
建議您與兩、三位代理聯絡，然後與他們逐一見面商談。這個過程一如僱主聘用員工前的問話。與代理見面時，應查詢他們擔任代理的年資、過去一兩年在該地區內經手賣出的房屋數目、目前手上有多少Listing、將來如何協助您賣屋，包括花多少時間作Open House，用甚麼方法來作廣告宣傳。當然您也應該問及代理對區內房地產意見，及對您的房屋售價意見，並請他解釋訂出此價目的理由。
不過，訂出價格最高的代理不一定是最佳的代理，因為市場情況將會決定真正的價錢，訂得太高可能反而不妙。最後，你也應該考慮與這位代理的性格，是否能與他相處合作。"
2005-09-21,破產航空公司股票(二),
2005-09-20,破產航空公司股票(一),"上星期兩家航空公司(達美與西北航空)同一天宣佈破產，兩家公司都是上市公司，持有這兩家公司股票的投資者會受到什麼影響呢？
我們只要從上一家破產的航空公司(聯合航空)的經驗，就知道投資者將會損失大部份甚至全部資金。聯合航空公司股票代號本來是UAL，宣佈破產之前每股價錢已經跌至接近 $1，之後公司在零三年四月被紐約交易所除牌，改為在OTC市場掛牌，股票代號改為UALAQ，之後大部份時間股價都在 $1左右。
聯合航空正計劃有一重整債務之後，可以脫離破產，但到時現有的股票極可能會被取消，被新的股票取代，可惜到時現有股東將拿不到新股票，即全部手上的股票價值降為零。 
這兩家剛宣佈破產的航空公司情況也應該相似，目前他們的股價都在$1以下，將來也極可能會變為毫無價值。可是，兩家公司的股票每天依然有大量買賣，到底是什麼一回事呢?
現今賣出的，多數是本來持有股票的投資者，購買的多是對沖基金或投機者，冒著股票可能完全失去價值的風險，去博取股票在取消前可能有一定程度的反彈。 
9/21/2003 破產航空公司股票(二)
市場上有些投資者和對沖基金，會在公司宣佈破產之後，依然買入大量股票，但這些股票將來被取消的機會相當高，為甚麼這些投資者依然肯冒大風險呢？
這些已經宣佈破產的公司(例如上星期宣佈的達美和西北航空)，股票雖然跌至$1以下，亦預期在短期內被交易所除牌，但投機者亦願意趁低吸納，去博取股票價錢反彈。由於成本低，這些股票就像一些所謂PENNY STOCK，波動的範圍相當大，但與一般PENNY STOCK不同的，是發行股票的公司依然在運作，萬一有些好消息的話，股票價錢可能大幅上升。
三年前當聯合航空宣佈破產時，價錢是$1以下，但之後曾上升至 $2以上，所以有些投機者曾獲利，但當然亦有釵h投機者蒙受重大損失，目前聯合航空股價只有$0.6。
有兩位大學教授作了一個研究，發覺在154家宣佈破產的公司中，有93家公司的投資者最終資金全部損失，全體投資者平均損失是七成。所以一般小投資者應該避免利用破產公司股票作投機。"
2005-09-19,收益曲線,"經濟學家十分注意一個叫做「收益曲線」(YIELD CURVE)的圖表，這個圖表相當簡單，它顯示了短期與長期利率的關係。
短期利率最重要的決定因素，是聯邦儲備局的利率決策，聯儲局上星期將短期利率增高一碼，是第十一次加息，短期利率為3.75%。聯儲局考慮的因素，是應否增加或減低經濟增長速度，與及是否需要控制通貨膨漲率。
長期利率通常不受到聯儲局影響，而是由市場自由決定，主要的因素是市場對長期通貨膨漲率的預期，及聯邦長期公債在市場上的供求情況。目前十年債券利率是4.25%，三十年公債利率也只有4.5%。
當短期利率只是稍微低於長期利率，「收益曲線」便變得很平坦，通常曲線平坦是因為市場對長期經濟增長缺乏信心，故預料長期通通膨率不會增加。不過，這個傳統的看法似乎不再適用，因為直到美國南部颶風之前，經濟增長率其實相當不錯。 
假如短期利率繼續上升，有可能短期利率會高於長期利率，曲線便會倒轉，過去有這種情況都因為經濟不景氣，但現在看來，即使曲線倒轉也沒有什麼大不了。"
2005-09-16,房屋貸款的「服務權」,"房屋貸款其實分為貸款本身和「服務權」(Servicing Right)兩個部份，服務是指向借貸人士收取供款，以及辦理與還款有關的各項追收、行政或會計等事項。如果貸款需要借貸人預先繳交地稅或保險，這些服務亦包括按時繳交預繳的金額。
很多時候房屋貸款是由一間銀行或政府機構提供，但是「服務權」就卻由另一間公司擁有。該公司本身可能並不是一間銀行，只是負責辦理服務的公司。這些服務公司是可以在收到還款裡，扣起一個預先訂立的費用，所以「服務權」本身是一個有價值的商品，是可以由一間公司，轉賣給另外一間公司的。 
所以大家在辦理房屋貸款完畢之後，突然間會接到通知，要把供款寄到外州另外一間公司。有時在一兩年之後，又要改寄到另外一間公司，原因可能是「服務權」己經賣給其他公司。對消費者來說，辦理貸款完畢之後，很多時候碰到問題，都要與外州一間跟自己完全沒有來往的公司聯絡，往往會造成一些不便。"
2005-09-15,每兩星期付一半供款,
2005-09-14,FDIC 存款保險(二),"聯邦FDIC存款保險，表面上是每一個人在同一家銀行開設帳戶，有十萬元保障，但事實上，假如用不同的「擁有權類別」，存款保障可以大為提高，一對夫婦可以達到八十萬元保障。
假如一對夫婦有三個孩子，夫婦兩個人設立一個共同帳戶，本來有二十萬元保障，可是，假如帳戶指定三個孩子作為受益人(BENEFICIARY)，這個帳戶的保險金額便是二十萬元的三倍，即是享有六十萬元保障。當然，這對夫婦各自開設帳戶，每一個帳戶另有十萬元保障，他們彼此作為帳戶受益人，又另外有十萬元保障。
帳戶以生前信托作為持有人又如何呢？它的「擁有權類別」是以受益人來計算的，假如信托有三位受益人，而這三位受益人有相同的繼承權，即每個人可得三分之一，這個帳戶便有三十萬元保障。
所以聯邦存款保險其實相當靈活，運用得適當的話保險金額可以遠超十萬元，難怪十萬元基本保險金額自從1980年訂立以來，到現在都維持不變。"
2005-09-13,FDIC 存款保險(一),"在同一家銀行開設帳戶，是否每一個人只限十萬元聯邦FDIC存款保險呢？
其實聯邦存款保險是按帳戶的「擁有權類別」(OWNERSHIP CATEGORIES)作單位，每一個「擁有權類別」享有十萬元保障。什麼是「擁有權類別」呢？一位單身人士在一家銀行開設帳戶，他本身就是一個「擁有權類別」，保險金額是十萬元。
可是，個人可以用不同的「擁有權類別」，去得到超過十萬元的保險保障。但假如他在這家銀行有設立個人退休帳戶 （IRA），便可以得到另外十萬元保障，因為IRA帳戶是屬於另一個「擁有權類別」。
兩個人(例如一對夫婦)假如用不同的「擁有權類別」去擁有帳戶，在同一家銀行可以得到高達八十萬元保障，方法如下﹕兩個人分別用自己名字開設帳戶，每個帳戶當然有十萬保險，他們兩個人再共同開設一個帳戶，這個帳戶是屬於另一個「擁有權類別」，而且有二十萬保險。兩個人另外設立帳戶，但以「指定受益人」的方式，每一個帳戶都另有十萬元保帳。這樣加起來，這兩個人已經有六十萬元保障，如果再加上每個人自己設立個人退休帳戶，每個帳戶另有十萬元保障，總共加起來有八十萬元保障。"
2005-09-12,蒙受損失可以扣稅,"最近的美國南部的天災令釵h人蒙受重大損失，這些損失可否用來扣稅呢？ 
被小偷光顧，或在嚴重交通意外中有重大損失，或受到天災影響引致有損失，都可能有扣稅好處，但真正使用起來是有一些限制的。 
首先，這些損失不能是故意造成，或是由於人為的疏忽而引起的，也不能是一些會逐漸和自然損耗的物品，如被白蟻侵蝕房屋之類的損失。總括來說，這些損失是要屬於突發的和不尋常的。 
符合了稅例上損失的定義，可扣稅的金額也有限制。最初一百元損失是不能扣稅的，即使損失超過一百元，超出的金額也要超過當年總收入百份之十，超出的那部份才可以用來扣稅。當然假如這些損失有保險公司賠償，便不能扣稅了。 
要用這項扣稅，本身一定要有良好記錄，去證明您原來擁有該件物品。此外，您也要提供到損失金額的證明。假如符合扣稅規則的話，是可以填在SCHEDULE A逐項扣稅(ITEMIZED DEDUCTION)，並且要填寫4684號表格。
最後，由於總統已經宣佈南部幾個州是重災區，稅例上容雩荌洬~民選擇是否修改去年報稅表，或在今年報稅表上扣稅。"
2005-09-09,離婚與資金增值免稅,"假如夫婦不幸離婚，其中一個人不再住在自住房屋，將來賣出時有多少免稅額呢？ 
大家都知道，要得到每個人二十五萬元資金增值免稅額，必須在賣屋前五年內，擁有房屋產權起碼兩年，與及以該房屋作為主要住宅起碼兩年。假如離婚之後其中一個人搬了出去，將來賣出的時候那一個人沒有在房屋居住兩年，便不符合免稅要求。 
但是，稅例上有一個例外的情況，令離了婚的夫婦共同擁有的房屋繼續可以享受五十萬元資金增值免稅，但必須符合兩個條件。首先，該物業必須是繼續由這兩個人共同擁有。其次，搬出去住的那一位要有權在這間房屋內居住。請注意，他只要有權居住，並不一定真正要在那裡居住，都可以符合兩年使用期的條件。 
怎樣才算有權在這間房屋居住呢？ 是要在離婚或分居的正式文件上訂明，在外面居住的那一位有權可以使用這間房屋作為主要住宅。由於這個條款對免稅金額有重大影響，在辦理離婚時應該雙方達成協議，然後由律師放入離婚協議書內。"
2005-09-08,為家中物品留下記錄,"大家所購買的房屋保險，保障範圍都會包括屋內的物品，將來萬一不幸發生火災或遇到盜賊偷竊，都可以從保險公司獲得賠償損失；但要向保險公司索取賠償，大家必須要知道究竟擁有那些個人物件，以及有關物件的價值，最理想的方法是預先把房屋內的物件列出清單，然後妥善保存，令將來辦理賠償時較為方便。 
除了以清單作記錄外，最理想的方法是把物品拍照存檔，特別是一些獨特及貴重的物品。例如音響器材、照相機、古董、珠寶首飾、名貴裝飾品、家具、甚至車房內的汽車，都應該拍照或以家庭攝錄機記錄下來。 
若以照片存檔，應盡量以近距離拍攝，並在照片上註明物品的名稱及價值；若以攝錄機進行拍攝，則一邊拍攝、一邊形容有關物品。網上有一個免費軟件可以下載，是在WWW.KNOWYOURSTUFF.ORG 
作好了清單及拍攝存檔後，可以將物品的價值計算起來，與保險單上的最高賠償金額作出比較，了解保額是否足夠。若有良好的記錄，將來若不幸需要索償時，手續會變得簡單，同時所獲的賠償金額更有保障。"
2005-09-07,1031交換特別情況,"有些朋友在完成了1031交換之後，短期內想再作交換，兩個交換之間需要隔開多長時間呢？ 
1031稅例內沒有明文規定兩個交換之間需要隔多少時間，但1031稅例很清楚說明用於1031交換的物業，不論是「換入」的物業，抑或是「換出」的物業，都要是被持有(HOLD)作為投資用途的，持有的意思就是業主擁有一段時候，而不是短期內便換入和換出。假如持有的時間太短，便不屬於持有，而是屬於短期買賣交易，這類業主變為「以物業買賣作生意者」(DEALER)，並且這類物業成為「庫存物業」(INVENTORY)，DEALER和庫存物業是不能作1031交換的。 
那麼要持有多少時間才不會被當作「以物業買賣作生意者」和「庫存物業」呢？稅例沒有明文規定，但一般業者認為起碼應該持有一年或以上，才算是顯示了業主持有的本意(INTENT)，這個結論是根據一系列IRS REVENUE RULING，和一系列稅務法庭的官司，都是與持有期太短(幾個月)有關的。"
2005-09-06,找股息收益率高的股票,"通常高增長公司的股票，特別是科技公司，所派的股息都相當少，甚至完全不派股息。近年稅例修改，股票股息的稅率有可能比較普通收入低，故不少投資者喜歡去尋找一些股息收益率比較高的股票。 
股息收益率(Dividend Yield)的計算方法，是將股價以每年派息的金額去除。例如股價二十元，每年每股派息兩元，股息收益率就是10%。 
要找到股票股息收益率，可以在互聯網上或報刊上找到。但要找一些股息收益率比較高的股票，可以利用過濾網 (Screener)這種工具，去幫助按股息收益率來挑出股票。有兩個網址可以提供有關免費服務。首先是Yahoo的網址，先進入財務部份(Finance)，然後再入去Stock Research，再打開stock screener。另一個網址是www.businessweek.com，然後進入STOCK SCREENER那部份。
這類過濾網除了可以輸入股息收息率外，更可同時放入其他選擇的指標，例如公司的市值，P/E的倍數，過去每股盈利增長率等。不過由過濾網所挑出的股票，雖然符合股息收益和其他指標要求，投資者仍需多了解公司其他的情況，才作出投資決定。"
2005-09-05,員工購股優惠計劃,"有些上市公司，會向員工提供一種簡稱為ESPP的福利計劃，讓員工把部份薪金扣起，用來購買公司的股票，而公司亦會給予他們一些折扣優惠，通常是當天股票市值的百分之十五。當員工透過ESPP計劃購買公司股票，即使買入價低於市價，亦不必向稅局申報。但當員工將來賣出這些股票時，有些稅例必須注意。
首先，這種ESPP計劃有一個特別的「持有期」(HOLDING PERIOD)規例，持有股票的時間長短，會直接影響收入稅。假如在獲得公司優惠福利計劃兩年後、或買入公司股票一年後才賣出，而股票升了值，升值的中一小部份 –就是公司所給予的折扣優惠部份，要當作普通收入課稅，其餘的資金增值就按長期資金增值(Long-term Capital Gain)較低的稅率課稅。
這種福利計劃，通常相當受員工歡迎，公司的用意是鼓勵一般員工，持有公司的股票，增加對公司的歸屬感，同時為員工提供一些優惠。"
